iter	Logloss
0	0.6780146039
1	0.6623995393
2	0.6490427319
3	0.6358918768
4	0.623720143
5	0.6128672917
6	0.605535118
7	0.5951725669
8	0.5864567037
9	0.5785727167
10	0.5703895209
11	0.5626570355
12	0.5547154403
13	0.5477326747
14	0.5403520352
15	0.5344155404
16	0.5289153824
17	0.5229739747
18	0.5175334457
19	0.5128023499
20	0.5081742153
21	0.5036639488
22	0.4995604288
23	0.4952609426
24	0.4920176519
25	0.4887556603
26	0.4858553129
27	0.4830926897
28	0.4794872333
29	0.4766986668
30	0.4737393842
31	0.4709834108
32	0.4681017194
33	0.4659050465
34	0.4638525514
35	0.4616385383
36	0.4597203521
37	0.4577178141
38	0.4556445475
39	0.4538848559
40	0.4519819613
41	0.4501301342
42	0.4485224198
43	0.4470776396
44	0.4455345883
45	0.4440976603
46	0.4425671597
47	0.4410235647
48	0.4395355741
49	0.438593916
50	0.4372547362
51	0.4363400351
52	0.4351407484
53	0.4341178342
54	0.4331344764
55	0.4321750136
56	0.4313192975
57	0.4303004466
58	0.4294414835
59	0.4286454493
60	0.4276196218
61	0.4267471106
62	0.4260394117
63	0.4252296926
64	0.424913316
65	0.4240310933
66	0.4232025435
67	0.4227249528
68	0.4220462597
69	0.4213733751
70	0.4208427292
71	0.4202112335
72	0.4195328188
73	0.4189605517
74	0.4182361841
75	0.4177134777
76	0.417224376
77	0.4167289063
78	0.4162049672
79	0.415688475
80	0.4151763284
81	0.4147245416
82	0.4142929186
83	0.4137099528
84	0.4132245867
85	0.412731977
86	0.4122121598
87	0.4118365137
88	0.4114667445
89	0.4110719336
90	0.4106310717
91	0.4102595989
92	0.409791201
93	0.4093553786
94	0.4088927653
95	0.4085679567
96	0.4081108033
97	0.4079066238
98	0.4075642171
99	0.4072698076
100	0.4069185931
101	0.4066351949
102	0.4063047995
103	0.4060245862
104	0.4056502986
105	0.4052850098
106	0.4050321176
107	0.4046756263
108	0.4043762226
109	0.4040503755
110	0.4036890618
111	0.4033821012
112	0.4031582086
113	0.4028680149
114	0.4026496361
115	0.4023280881
116	0.4020478961
117	0.4017675796
118	0.4015340798
119	0.4012471738
120	0.4010221905
121	0.4007374472
122	0.400522677
123	0.4002971083
124	0.4000664408
125	0.3999223849
126	0.3997940915
127	0.3995790131
128	0.3993639351
129	0.3992072793
130	0.3990266095
131	0.3987957012
132	0.398540392
133	0.3983056014
134	0.3982004587
135	0.3979450323
136	0.3977332571
137	0.3975160099
138	0.397277178
139	0.397135866
140	0.3969345013
141	0.3967062774
142	0.3965286341
143	0.396398747
144	0.3961209438
145	0.3958883216
146	0.3956078264
147	0.3953628161
148	0.3950632158
149	0.3950258275
150	0.3948291009
151	0.3945756823
152	0.394423214
153	0.3942235183
154	0.3940548842
155	0.393875833
156	0.3937129702
157	0.3935898355
158	0.3934603508
159	0.3932920411
160	0.3931433803
161	0.3929686656
162	0.3927676178
163	0.3925170412
164	0.3923173799
165	0.3920613336
166	0.3918878832
167	0.3916958436
168	0.3915012187
169	0.3913510822
170	0.3911901019
171	0.3909922262
172	0.3908537401
173	0.3906904408
174	0.3905576986
175	0.3903808402
176	0.3902090656
177	0.390091789
178	0.3900699876
179	0.3899986813
180	0.3898658138
181	0.389781762
182	0.3895736945
183	0.3894488763
184	0.3893413082
185	0.3891295065
186	0.3890081095
187	0.3887527087
188	0.3885267117
189	0.3884152592
190	0.3881857806
191	0.3880114661
192	0.3878890023
193	0.3877499239
194	0.3875772863
195	0.3874566132
196	0.3873430841
197	0.3872405462
198	0.3871079048
199	0.3869903928
200	0.3867911871
201	0.3867030907
202	0.3865181742
203	0.3862775275
204	0.3859914619
205	0.3857966142
206	0.385606941
207	0.3854004414
208	0.3852117609
209	0.384991332
210	0.3848523507
211	0.3847041866
212	0.3845911316
213	0.3843606664
214	0.384309611
215	0.3841258341
216	0.3839288032
217	0.3838387487
218	0.3837276145
219	0.383594495
220	0.3834969864
221	0.3834094266
222	0.3833184685
223	0.3831597374
224	0.3830551231
225	0.3829190297
226	0.3827620357
227	0.3826132177
228	0.3824633271
229	0.3822572808
230	0.3821459461
231	0.3819628343
232	0.3817709161
233	0.3816775937
234	0.3814976263
235	0.3813527155
236	0.3811785421
237	0.3811746108
238	0.3810367798
239	0.3809382807
240	0.3806800152
241	0.3804141404
242	0.3803408048
243	0.3802032793
244	0.3800184608
245	0.3797802445
246	0.3796320496
247	0.3795523756
248	0.3794487733
249	0.3792643961
250	0.3791807566
251	0.379033368
252	0.3789181927
253	0.3788129596
254	0.3787631098
255	0.3786287285
256	0.378475482
257	0.3783596502
258	0.378246913
259	0.3781874679
260	0.3780565547
261	0.3779185384
262	0.3776845585
263	0.3775809948
264	0.3774402166
265	0.377369014
266	0.3772172932
267	0.377079
268	0.3769144644
269	0.3767733696
270	0.3766505705
271	0.3764861993
272	0.3763559067
273	0.3762975345
274	0.3761827266
275	0.376092267
276	0.375815947
277	0.3756610917
278	0.375550793
279	0.3754123051
280	0.3752834402
281	0.3751625401
282	0.3751097419
283	0.3748796943
284	0.3747268139
285	0.3745941412
286	0.3743986429
287	0.3742315484
288	0.3740751339
289	0.3739236167
290	0.3737902815
291	0.3736919393
292	0.3735201635
293	0.3733583674
294	0.3732890522
295	0.3732090458
296	0.3730838626
297	0.3729318304
298	0.372839381
299	0.3726787949
300	0.3724849953
301	0.3722813295
302	0.3721291533
303	0.3720200667
304	0.3719390181
305	0.3718466072
306	0.3717792754
307	0.3716322667
308	0.3715158732
309	0.3714421376
310	0.3713489898
311	0.3712323707
312	0.371189224
313	0.3711157652
314	0.3709696131
315	0.3708424332
316	0.370782002
317	0.3706749164
318	0.3705530057
319	0.3703814713
320	0.3702534087
321	0.3701562342
322	0.3699485467
323	0.3698099398
324	0.369695763
325	0.3696065625
326	0.3695224195
327	0.3693927203
328	0.369320826
329	0.369228839
330	0.3691371479
331	0.3689956891
332	0.3688768894
333	0.3686805115
334	0.3686029457
335	0.3685305401
336	0.3683590007
337	0.368206538
338	0.3681375343
339	0.3679883231
340	0.3678318587
341	0.3677551
342	0.3677548523
343	0.3676865038
344	0.3675402835
345	0.3674315509
346	0.3673523833
347	0.3672679854
348	0.3671478973
349	0.3669851232
350	0.3669131768
351	0.3667652881
352	0.366641556
353	0.3665746859
354	0.3664904163
355	0.3663716031
356	0.3663255702
357	0.3661737394
358	0.3661018635
359	0.3659749493
360	0.3658226753
361	0.3657382589
362	0.3656516213
363	0.3655956761
364	0.3655359444
365	0.3654597445
366	0.3653573293
367	0.3652019543
368	0.3651223952
369	0.3650144052
370	0.3649280347
371	0.3648683604
372	0.3647908775
373	0.3647244647
374	0.3646672465
375	0.3645347955
376	0.3644035282
377	0.364283633
378	0.3641256002
379	0.3640164885
380	0.3638978851
381	0.3637219635
382	0.363582297
383	0.3634660418
384	0.3633558991
385	0.3632561576
386	0.3630789524
387	0.3629703463
388	0.3628479906
389	0.3627760956
390	0.3626617924
391	0.3626108524
392	0.3624966133
393	0.3624171302
394	0.3621325271
395	0.3620166632
