iter	Passed	Remaining
423	2612	3548
424	2620	3545
425	2627	3540
426	2635	3536
427	2642	3531
428	2652	3530
429	2660	3526
430	2668	3522
431	2676	3518
432	2683	3514
433	2690	3509
434	2698	3504
435	2706	3500
436	2712	3494
437	2718	3488
438	2725	3482
439	2733	3478
440	2740	3473
441	2748	3470
442	2756	3465
443	2764	3462
444	2773	3459
445	2781	3455
446	2789	3451
447	2797	3446
448	2805	3442
449	2814	3439
450	2821	3434
451	2830	3431
452	2837	3426
453	2844	3421
454	2851	3416
455	2859	3411
456	2867	3406
457	2874	3401
458	2882	3397
459	2891	3394
460	2899	3390
461	2907	3385
462	2914	3380
463	2922	3376
464	2930	3371
465	2938	3366
466	2945	3361
467	2952	3356
468	2960	3351
469	2968	3347
470	2977	3343
471	2985	3339
472	2993	3334
473	3000	3329
474	3008	3324
475	3016	3320
476	3023	3315
477	3031	3310
478	3039	3305
479	3047	3301
480	3054	3295
481	3063	3292
482	3071	3288
483	3080	3284
484	3088	3279
485	3099	3277
486	3104	3270
487	3111	3264
488	3118	3258
489	3125	3253
490	3133	3247
491	3140	3243
492	3148	3237
493	3156	3232
494	3163	3227
495	3173	3224
496	3181	3220
497	3190	3216
498	3197	3209
499	3204	3204
500	3211	3198
501	3217	3192
502	3225	3186
503	3232	3180
504	3238	3174
505	3246	3169
506	3253	3163
507	3261	3158
508	3268	3153
509	3276	3148
510	3286	3145
511	3295	3140
512	3303	3135
513	3312	3132
514	3320	3127
515	3328	3121
516	3335	3116
517	3343	3111
518	3351	3106
519	3358	3100
520	3366	3094
521	3374	3089
522	3381	3084
523	3390	3080
524	3398	3074
525	3404	3068
526	3411	3062
527	3419	3057
528	3427	3051
529	3435	3046
530	3442	3040
531	3449	3034
532	3457	3029
533	3465	3023
534	3472	3018
535	3482	3014
536	3490	3009
537	3499	3004
538	3506	2999
539	3515	2994
540	3521	2987
541	3528	2981
542	3536	2976
543	3544	2970
544	3551	2965
545	3559	2959
546	3567	2954
547	3574	2948
548	3582	2943
549	3591	2938
550	3599	2933
551	3606	2927
552	3613	2920
553	3620	2914
554	3630	2910
555	3638	2905
556	3647	2900
557	3654	2894
558	3659	2886
559	3663	2878
560	3667	2870
561	3671	2861
562	3675	2852
563	3679	2844
564	3682	2835
565	3686	2826
566	3689	2817
567	3693	2808
568	3696	2799
569	3699	2790
570	3703	2782
571	3706	2773
572	3709	2764
573	3712	2755
574	3715	2746
575	3718	2737
576	3722	2728
577	3725	2719
578	3728	2710
579	3731	2701
580	3734	2693
581	3737	2684
582	3740	2675
583	3743	2666
584	3746	2658
585	3749	2649
586	3752	2640
587	3755	2631
588	3758	2622
589	3761	2613
590	3764	2605
591	3767	2596
592	3770	2587
593	3774	2579
594	3777	2571
595	3781	2563
596	3784	2554
597	3787	2546
598	3790	2537
599	3794	2529
600	3797	2521
601	3800	2512
602	3803	2504
603	3806	2495
